epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.37,3.56101,3.8831,3.51288,0.02734,0.10391,0.01758,0.00552,2.97328,7.21187,2.95706,0.0701103,0.00332108,0.00332108
2,234.599,2.0339,2.93952,2.10789,0.1212,0.34173,0.08586,0.03815,2.05359,4.66134,2.23324,0.0400691,0.00661324,0.00661324
3,350.577,1.58953,2.42232,1.66294,0.44887,0.1868,0.18222,0.08301,1.98276,3.03806,2.1841,0.0099867,0.00986415,0.00986415
4,459.096,1.47282,2.20551,1.54255,0.62314,0.26115,0.30459,0.17506,1.77962,2.3774,1.8296,0.00981438,0.00981438,0.00981438
5,567.011,1.40078,2.01994,1.47371,0.39496,0.41463,0.36532,0.19839,1.75402,1.96777,1.80171,0.0097525,0.0097525,0.0097525
6,675.455,1.35869,1.89226,1.43861,0.37239,0.44903,0.4285,0.24066,1.65686,1.88704,1.78038,0.00969063,0.00969063,0.00969063
7,783.435,1.32739,1.79036,1.41278,0.408,0.44331,0.44085,0.26116,1.66439,1.92584,1.77532,0.00962875,0.00962875,0.00962875
8,891.656,1.30863,1.73583,1.40619,0.51056,0.45406,0.47496,0.27281,1.68072,1.76873,1.78321,0.00956688,0.00956688,0.00956688
9,999.571,1.28771,1.67737,1.3869,0.49175,0.44923,0.46539,0.2596,1.63602,1.71288,1.69006,0.009505,0.009505,0.009505
10,1107.63,1.27222,1.63016,1.3795,0.55988,0.47613,0.50115,0.29921,1.59575,1.65091,1.64266,0.00944313,0.00944313,0.00944313
11,1216.42,1.26395,1.60551,1.37054,0.54681,0.50165,0.52388,0.31737,1.61541,1.71411,1.69667,0.00938125,0.00938125,0.00938125
12,1324.08,1.24782,1.56922,1.35643,0.65141,0.48508,0.54874,0.33063,1.56444,1.5727,1.62223,0.00931937,0.00931937,0.00931937
13,1431.57,1.23848,1.54925,1.34995,0.65792,0.60422,0.63413,0.4023,1.50204,1.39823,1.59524,0.0092575,0.0092575,0.0092575
14,1539.83,1.22894,1.50686,1.34353,0.58063,0.52404,0.55149,0.33483,1.58734,1.56042,1.63087,0.00919562,0.00919562,0.00919562
15,1647.14,1.22562,1.48372,1.33883,0.67726,0.54187,0.61866,0.38633,1.53028,1.40733,1.57638,0.00913375,0.00913375,0.00913375
16,1755.09,1.21365,1.47245,1.3331,0.65604,0.56293,0.63946,0.39461,1.50327,1.35869,1.59195,0.00907188,0.00907188,0.00907188
17,1863.61,1.20905,1.44595,1.32953,0.71425,0.51533,0.61114,0.37518,1.53376,1.39109,1.58789,0.00901,0.00901,0.00901
