epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,1972.76,1.20085,1.43351,1.32566,0.65667,0.59312,0.66928,0.40504,1.51397,1.29784,1.56617,0.00894812,0.00894812,0.00894812
19,2080.49,1.19739,1.40998,1.31743,0.70056,0.56962,0.68053,0.41664,1.49036,1.26885,1.58841,0.00888625,0.00888625,0.00888625
20,2187.52,1.19239,1.39199,1.31762,0.69111,0.61215,0.6742,0.41489,1.5013,1.24128,1.55702,0.00882438,0.00882438,0.00882438
21,2293.09,1.19064,1.38157,1.3134,0.68187,0.65001,0.70689,0.4376,1.48451,1.25626,1.52325,0.0087625,0.0087625,0.0087625
22,2397.75,1.18664,1.35937,1.31085,0.71614,0.61764,0.70053,0.45147,1.46281,1.21808,1.53994,0.00870063,0.00870063,0.00870063
23,2503.17,1.1821,1.35971,1.3085,0.70006,0.63117,0.7124,0.4414,1.43962,1.22862,1.54167,0.00863875,0.00863875,0.00863875
24,2610.11,1.17091,1.33511,1.30285,0.66665,0.65386,0.69996,0.44792,1.43733,1.19854,1.51213,0.00857687,0.00857687,0.00857687
25,2717.97,1.17387,1.33014,1.30273,0.77842,0.62017,0.73492,0.47138,1.44733,1.20363,1.52105,0.008515,0.008515,0.008515
26,2825.5,1.16711,1.31823,1.30184,0.68007,0.67528,0.71265,0.46346,1.43051,1.16066,1.49421,0.00845313,0.00845313,0.00845313
27,2932.5,1.15948,1.30397,1.29237,0.6864,0.692,0.72717,0.46685,1.40717,1.14633,1.49444,0.00839125,0.00839125,0.00839125
28,3041.19,1.16702,1.30825,1.29423,0.70334,0.6828,0.73483,0.47842,1.41773,1.14344,1.4992,0.00832937,0.00832937,0.00832937
29,3148.75,1.1618,1.29147,1.29188,0.7278,0.66675,0.71683,0.4694,1.43398,1.13969,1.48504,0.0082675,0.0082675,0.0082675
30,3255.94,1.15499,1.2922,1.29392,0.69966,0.71218,0.75064,0.48684,1.40108,1.12817,1.48293,0.00820562,0.00820562,0.00820562
31,3363.36,1.15195,1.26878,1.28581,0.74605,0.67299,0.74663,0.49422,1.41369,1.09356,1.46781,0.00814375,0.00814375,0.00814375
32,3470.99,1.15549,1.27207,1.29049,0.73624,0.66378,0.73401,0.4855,1.40836,1.11839,1.46065,0.00808188,0.00808188,0.00808188
33,3583.43,1.15399,1.26165,1.28745,0.7251,0.72178,0.75655,0.50855,1.41136,1.11452,1.47141,0.00802,0.00802,0.00802
34,3690.94,1.14579,1.25121,1.28573,0.72872,0.68267,0.74856,0.50173,1.39019,1.07675,1.44729,0.00795812,0.00795812,0.00795812
35,3797.71,1.14296,1.24669,1.28326,0.72331,0.72375,0.76164,0.50986,1.38888,1.06477,1.44909,0.00789625,0.00789625,0.00789625
36,3905.55,1.14225,1.23967,1.28109,0.75518,0.7238,0.7717,0.52181,1.3787,1.06246,1.43939,0.00783438,0.00783438,0.00783438
37,4013.96,1.13615,1.22854,1.27844,0.78859,0.68781,0.77319,0.51865,1.38181,1.07212,1.44796,0.0077725,0.0077725,0.0077725
38,4120.63,1.13692,1.22715,1.28008,0.74852,0.71401,0.77356,0.51872,1.37631,1.05884,1.44136,0.00771063,0.00771063,0.00771063
39,4227.69,1.13695,1.21392,1.27803,0.73724,0.72733,0.77679,0.52612,1.374,1.06192,1.4424,0.00764875,0.00764875,0.00764875
40,4335,1.13476,1.21265,1.27494,0.78765,0.66715,0.77378,0.52336,1.38169,1.04672,1.44504,0.00758687,0.00758687,0.00758687
41,4442.77,1.13544,1.20402,1.27377,0.73878,0.70821,0.77232,0.52432,1.36348,1.03455,1.43125,0.007525,0.007525,0.007525
42,4550.08,1.13085,1.1984,1.27227,0.76282,0.72379,0.78071,0.53484,1.36579,1.01876,1.43188,0.00746313,0.00746313,0.00746313
43,4657.39,1.12976,1.19729,1.27198,0.74304,0.72141,0.78001,0.53443,1.36142,1.01766,1.4244,0.00740125,0.00740125,0.00740125
44,4764.94,1.12853,1.18265,1.26967,0.76395,0.72156,0.78573,0.5332,1.35937,1.01863,1.41819,0.00733937,0.00733937,0.00733937
45,4873.79,1.12747,1.18005,1.26887,0.78263,0.70422,0.77683,0.52824,1.35713,1.01423,1.41755,0.0072775,0.0072775,0.0072775
46,4981.98,1.12473,1.17965,1.2681,0.75557,0.7343,0.78851,0.53831,1.35823,1.01539,1.42027,0.00721562,0.00721562,0.00721562
47,5089.9,1.12293,1.17499,1.26623,0.74548,0.73972,0.78473,0.53747,1.36101,1.00305,1.42105,0.00715375,0.00715375,0.00715375
48,5197.26,1.11722,1.15793,1.26374,0.74901,0.7462,0.79132,0.54484,1.35853,0.99816,1.41576,0.00709188,0.00709188,0.00709188
49,5304.83,1.11628,1.15097,1.2622,0.77716,0.72442,0.79217,0.54646,1.36232,0.99678,1.41583,0.00703,0.00703,0.00703
50,5411.79,1.11544,1.15109,1.25919,0.77988,0.73178,0.79603,0.54998,1.36165,0.9905,1.41078,0.00696812,0.00696812,0.00696812
51,5519.21,1.11029,1.1525,1.25784,0.7817,0.74674,0.79696,0.54855,1.36002,0.98812,1.40728,0.00690625,0.00690625,0.00690625
52,5627.07,1.11409,1.14418,1.26019,0.77201,0.74124,0.79812,0.54893,1.35686,0.98388,1.40401,0.00684438,0.00684438,0.00684438
53,5734.34,1.11452,1.14395,1.25894,0.74888,0.75358,0.7964,0.54557,1.35732,0.98567,1.40501,0.0067825,0.0067825,0.0067825
54,5843.3,1.107,1.13008,1.25348,0.75497,0.73514,0.79613,0.54752,1.35497,0.9869,1.40589,0.00672063,0.00672063,0.00672063
55,5950.8,1.11406,1.12579,1.25762,0.74549,0.74592,0.7946,0.54917,1.35362,0.98568,1.40455,0.00665875,0.00665875,0.00665875
56,6057.99,1.10313,1.12596,1.25255,0.73747,0.75602,0.79623,0.55146,1.35356,0.98164,1.40371,0.00659688,0.00659688,0.00659688
57,6165.28,1.10746,1.11967,1.25389,0.74038,0.7613,0.79565,0.553,1.35137,0.97977,1.40244,0.006535,0.006535,0.006535
58,6272.66,1.10965,1.12435,1.25514,0.74572,0.7608,0.79925,0.55387,1.34987,0.97506,1.39997,0.00647313,0.00647313,0.00647313
59,6380.49,1.09841,1.11442,1.25035,0.74406,0.75883,0.79938,0.55508,1.3485,0.97229,1.39799,0.00641125,0.00641125,0.00641125
60,6488.13,1.11128,1.11806,1.25459,0.75807,0.75729,0.80145,0.55578,1.3475,0.968,1.39733,0.00634937,0.00634937,0.00634937
61,6595.56,1.1047,1.10431,1.25202,0.82365,0.71012,0.8015,0.55631,1.34713,0.96783,1.3951,0.0062875,0.0062875,0.0062875
62,6704.46,1.10074,1.10099,1.25214,0.79521,0.72564,0.80294,0.55677,1.34542,0.96363,1.39426,0.00622563,0.00622563,0.00622563
63,6811.97,1.09832,1.09788,1.24765,0.80534,0.7228,0.80311,0.55882,1.34355,0.96166,1.39231,0.00616375,0.00616375,0.00616375
64,6919.33,1.09508,1.09228,1.24573,0.80672,0.72518,0.80321,0.55991,1.3415,0.96109,1.39087,0.00610187,0.00610187,0.00610187
65,7026.96,1.10092,1.08302,1.24722,0.81052,0.72633,0.80394,0.56014,1.34132,0.95993,1.39059,0.00604,0.00604,0.00604
66,7134.36,1.09398,1.09083,1.2476,0.81049,0.72828,0.80466,0.56149,1.34006,0.95842,1.38919,0.00597812,0.00597812,0.00597812
67,7242.3,1.09366,1.08184,1.24609,0.81104,0.72716,0.80481,0.56241,1.33795,0.95807,1.38683,0.00591625,0.00591625,0.00591625
68,7350.01,1.09386,1.07477,1.24313,0.8187,0.73052,0.80671,0.5632,1.33754,0.95656,1.3862,0.00585438,0.00585438,0.00585438
69,7457.73,1.08672,1.07762,1.2416,0.81863,0.73166,0.80813,0.56393,1.33658,0.95543,1.38483,0.0057925,0.0057925,0.0057925
70,7565.11,1.08826,1.06849,1.24115,0.81506,0.73523,0.80913,0.56317,1.33594,0.95308,1.38402,0.00573063,0.00573063,0.00573063
71,7674.13,1.09201,1.07077,1.24424,0.82049,0.72306,0.80922,0.56408,1.33532,0.95065,1.38327,0.00566875,0.00566875,0.00566875
72,7781.86,1.08985,1.06349,1.2418,0.82491,0.72276,0.80922,0.56474,1.33564,0.95034,1.38367,0.00560687,0.00560687,0.00560687
73,7889.52,1.09332,1.06252,1.24203,0.82698,0.7228,0.81041,0.56521,1.33565,0.94816,1.38322,0.005545,0.005545,0.005545
74,7996.97,1.0864,1.06195,1.24191,0.82962,0.72672,0.8105,0.56604,1.33445,0.94821,1.38213,0.00548313,0.00548313,0.00548313
75,8104.79,1.08656,1.0525,1.24426,0.82518,0.73067,0.81058,0.56458,1.33386,0.94823,1.38135,0.00542125,0.00542125,0.00542125
76,8211.94,1.08265,1.05271,1.23631,0.82374,0.73472,0.81003,0.56504,1.33347,0.94776,1.38071,0.00535937,0.00535937,0.00535937
77,8319,1.08379,1.04738,1.23711,0.82463,0.73399,0.81025,0.5659,1.33314,0.94708,1.38015,0.0052975,0.0052975,0.0052975
78,8426.59,1.08431,1.04278,1.23719,0.82329,0.7334,0.80997,0.56588,1.33308,0.94539,1.38033,0.00523563,0.00523563,0.00523563
79,8534.95,1.07373,1.03954,1.23386,0.82838,0.73389,0.81084,0.56532,1.33218,0.94371,1.37967,0.00517375,0.00517375,0.00517375
80,8643.68,1.08153,1.04337,1.23393,0.83021,0.73213,0.81167,0.56609,1.33157,0.9428,1.37903,0.00511188,0.00511188,0.00511188
81,8751.5,1.0773,1.03224,1.23593,0.83191,0.72971,0.81171,0.56575,1.33064,0.94106,1.37807,0.00505,0.00505,0.00505
82,8859.05,1.0824,1.03273,1.23409,0.83375,0.73067,0.81201,0.5661,1.33043,0.93977,1.37846,0.00498813,0.00498813,0.00498813
83,8966.14,1.07334,1.02597,1.2307,0.83529,0.72881,0.81226,0.56621,1.33023,0.93843,1.37851,0.00492625,0.00492625,0.00492625
84,9075.83,1.07799,1.02552,1.23107,0.83849,0.73302,0.81296,0.56768,1.33007,0.93705,1.3782,0.00486437,0.00486437,0.00486437
85,9183.75,1.07481,1.02159,1.23097,0.83901,0.73226,0.81257,0.56673,1.33012,0.93573,1.37782,0.0048025,0.0048025,0.0048025
86,9291.35,1.06973,1.01693,1.22795,0.83663,0.7342,0.81259,0.56711,1.32933,0.9345,1.37713,0.00474063,0.00474063,0.00474063
87,9401.01,1.07412,1.01612,1.23068,0.83919,0.73569,0.81339,0.56799,1.32804,0.93337,1.37662,0.00467875,0.00467875,0.00467875
88,9509.28,1.06837,1.0043,1.22859,0.83351,0.73889,0.814,0.56826,1.32689,0.93172,1.37633,0.00461688,0.00461688,0.00461688
89,9617.12,1.06714,1.00798,1.22847,0.8213,0.74479,0.81503,0.5681,1.32611,0.93056,1.37572,0.004555,0.004555,0.004555
90,9724.58,1.06522,0.99952,1.22695,0.81254,0.74986,0.81531,0.56833,1.32485,0.92882,1.37514,0.00449312,0.00449312,0.00449312
91,9832.06,1.06386,1.00081,1.22491,0.81655,0.74948,0.81617,0.56923,1.32402,0.92758,1.3746,0.00443125,0.00443125,0.00443125
92,9939.18,1.06605,0.99604,1.22264,0.80889,0.75375,0.81597,0.56971,1.32291,0.9268,1.37354,0.00436938,0.00436938,0.00436938
93,10047,1.06833,0.99726,1.22453,0.8047,0.75571,0.81671,0.56954,1.32212,0.92506,1.37255,0.0043075,0.0043075,0.0043075
94,10154.4,1.06664,0.98786,1.22531,0.80061,0.76613,0.8173,0.57141,1.32187,0.92425,1.37235,0.00424562,0.00424562,0.00424562
95,10262,1.06286,0.9926,1.22273,0.79749,0.76759,0.81771,0.57107,1.32092,0.92271,1.37204,0.00418375,0.00418375,0.00418375
96,10371,1.06535,0.98773,1.22374,0.79741,0.76909,0.81864,0.57032,1.32068,0.92183,1.37169,0.00412187,0.00412187,0.00412187
97,10479.2,1.06397,0.98331,1.22431,0.80048,0.77098,0.8204,0.57044,1.32022,0.92046,1.37127,0.00406,0.00406,0.00406
98,10586.6,1.05796,0.97817,1.21996,0.80448,0.77248,0.82118,0.57219,1.31976,0.91903,1.37074,0.00399813,0.00399813,0.00399813
99,10694.5,1.06385,0.98073,1.2193,0.80188,0.77161,0.82126,0.57058,1.31965,0.91838,1.37009,0.00393625,0.00393625,0.00393625
100,10802.3,1.06257,0.97577,1.21868,0.80445,0.77226,0.82121,0.57026,1.3192,0.91734,1.36981,0.00387437,0.00387437,0.00387437
101,10909.9,1.05709,0.97459,1.21937,0.80612,0.77178,0.82254,0.57146,1.31935,0.91676,1.37,0.0038125,0.0038125,0.0038125
102,11017.5,1.05396,0.96264,1.21862,0.80732,0.7719,0.82295,0.57233,1.31893,0.91487,1.36952,0.00375063,0.00375063,0.00375063
103,11125.3,1.05731,0.96702,1.22092,0.80976,0.77056,0.82333,0.57115,1.31863,0.91428,1.36934,0.00368875,0.00368875,0.00368875
104,11235,1.05148,0.96461,1.216,0.80842,0.77687,0.82329,0.57016,1.31842,0.9131,1.36915,0.00362687,0.00362687,0.00362687
105,11343.5,1.05155,0.95864,1.21558,0.81054,0.77844,0.82394,0.57136,1.31835,0.91233,1.36888,0.003565,0.003565,0.003565
106,11450.7,1.05472,0.95765,1.21515,0.81187,0.77941,0.82398,0.57145,1.31834,0.91133,1.36858,0.00350313,0.00350313,0.00350313
107,11558.8,1.04344,0.95202,1.21369,0.81513,0.77931,0.82475,0.5709,1.31791,0.91159,1.36785,0.00344125,0.00344125,0.00344125
108,11666.1,1.0403,0.94708,1.21177,0.81432,0.77904,0.82507,0.57211,1.31744,0.91168,1.36744,0.00337938,0.00337938,0.00337938
109,11773.8,1.04545,0.94773,1.21136,0.81538,0.77843,0.82566,0.57254,1.31744,0.91156,1.3672,0.0033175,0.0033175,0.0033175
110,11881.3,1.0505,0.95146,1.21309,0.81834,0.77811,0.82635,0.57234,1.31719,0.91133,1.36697,0.00325562,0.00325562,0.00325562
111,11988.9,1.04732,0.94769,1.21377,0.82184,0.77536,0.82711,0.57236,1.3174,0.91153,1.36728,0.00319375,0.00319375,0.00319375
112,12096.9,1.04133,0.9409,1.2103,0.8242,0.77288,0.82726,0.57408,1.31758,0.91132,1.36728,0.00313188,0.00313188,0.00313188
113,12205.6,1.04661,0.93829,1.21419,0.82721,0.77346,0.82778,0.57281,1.3172,0.91152,1.36739,0.00307,0.00307,0.00307
114,12313.1,1.04136,0.93629,1.20875,0.8272,0.77392,0.82823,0.57339,1.31747,0.91178,1.36733,0.00300812,0.00300812,0.00300812
115,12420.3,1.03798,0.92951,1.20727,0.8286,0.77495,0.8272,0.57367,1.3178,0.91226,1.36697,0.00294625,0.00294625,0.00294625
116,12527.4,1.04038,0.93431,1.20915,0.82967,0.77782,0.82831,0.57444,1.31771,0.9121,1.36657,0.00288438,0.00288438,0.00288438
117,12635.6,1.04187,0.9257,1.20798,0.82927,0.77838,0.82822,0.57378,1.31779,0.91236,1.36666,0.0028225,0.0028225,0.0028225
118,12743.5,1.04096,0.92332,1.20619,0.83198,0.77638,0.82854,0.57244,1.31729,0.91283,1.36635,0.00276063,0.00276063,0.00276063
119,12851.5,1.03068,0.91912,1.20369,0.83582,0.77304,0.82849,0.5739,1.31736,0.91322,1.36612,0.00269875,0.00269875,0.00269875
120,12959.2,1.04026,0.91885,1.2064,0.83769,0.77354,0.82892,0.57167,1.31769,0.91289,1.36608,0.00263687,0.00263687,0.00263687
121,13067.6,1.03519,0.91597,1.20645,0.83733,0.77386,0.82896,0.57155,1.31819,0.91258,1.36588,0.002575,0.002575,0.002575
122,13175.6,1.03436,0.90984,1.20455,0.83954,0.7742,0.82917,0.57134,1.31837,0.91332,1.36622,0.00251313,0.00251313,0.00251313
123,13283.5,1.02947,0.91062,1.20173,0.83859,0.7788,0.82894,0.57063,1.31842,0.9124,1.36621,0.00245125,0.00245125,0.00245125
124,13391.1,1.02746,0.90221,1.19943,0.83959,0.78009,0.82905,0.57097,1.31844,0.91293,1.36642,0.00238937,0.00238937,0.00238937
125,13499.6,1.02933,0.89635,1.19994,0.8382,0.77873,0.82886,0.57196,1.31877,0.91299,1.36621,0.0023275,0.0023275,0.0023275
126,13607.5,1.0278,0.90233,1.19694,0.83894,0.77518,0.82847,0.57163,1.31857,0.91418,1.36582,0.00226562,0.00226562,0.00226562
127,13714.5,1.02482,0.89209,1.19856,0.83907,0.77616,0.82825,0.57153,1.31902,0.91338,1.36589,0.00220375,0.00220375,0.00220375
128,13821.9,1.02346,0.89283,1.19749,0.84071,0.77683,0.82837,0.57171,1.31965,0.91404,1.36621,0.00214188,0.00214188,0.00214188
129,13929.3,1.02022,0.89242,1.1962,0.83594,0.77705,0.82686,0.57148,1.3201,0.91472,1.36656,0.00208,0.00208,0.00208
130,14038,1.02468,0.88762,1.19551,0.8324,0.77888,0.82639,0.57071,1.3204,0.91502,1.36655,0.00201812,0.00201812,0.00201812
131,14145.4,1.02432,0.88608,1.19566,0.83232,0.77905,0.82721,0.57155,1.32098,0.91568,1.36685,0.00195625,0.00195625,0.00195625
132,14253.2,1.02148,0.87787,1.19532,0.83106,0.77789,0.8264,0.57098,1.32239,0.91571,1.36716,0.00189438,0.00189438,0.00189438
133,14360.7,1.01485,0.87814,1.19326,0.82906,0.77935,0.82592,0.57027,1.32289,0.91636,1.36704,0.0018325,0.0018325,0.0018325
134,14468.2,inf,0.87446,1.19103,0.82965,0.7797,0.82644,0.57062,1.32362,0.91672,1.36724,0.00177062,0.00177062,0.00177062
135,14575.6,1.01703,0.87333,1.19249,0.83041,0.78035,0.82689,0.57101,1.32406,0.9184,1.36751,0.00170875,0.00170875,0.00170875
136,14683.1,1.01869,0.86858,1.19252,0.82772,0.78058,0.82618,0.57084,1.32404,0.91908,1.36743,0.00164688,0.00164688,0.00164688
137,14790.9,1.01075,0.866,1.18813,0.82116,0.78142,0.82635,0.57216,1.32419,0.91967,1.36723,0.001585,0.001585,0.001585
138,14899.5,1.01294,0.86418,1.19055,0.82362,0.78295,0.82754,0.57245,1.32424,0.92035,1.36707,0.00152313,0.00152313,0.00152313
139,15007.2,1.01096,0.85827,1.18703,0.8266,0.7821,0.82832,0.57234,1.32396,0.92053,1.36685,0.00146125,0.00146125,0.00146125
140,15115.1,1.0089,0.85411,1.18731,0.82977,0.78238,0.82873,0.57296,1.32477,0.92096,1.36692,0.00139938,0.00139938,0.00139938
141,15222.9,1.01138,0.85379,1.18495,0.8303,0.77874,0.82892,0.57335,1.32468,0.9217,1.36667,0.0013375,0.0013375,0.0013375
142,15330.3,1.00145,0.8444,1.18276,0.83025,0.78017,0.82878,0.57275,1.3256,0.92181,1.36703,0.00127563,0.00127563,0.00127563
143,15437.8,1.00235,0.84448,1.18183,0.83163,0.78036,0.82949,0.57218,1.32585,0.92313,1.3672,0.00121375,0.00121375,0.00121375
144,15545.6,1.00354,0.84992,1.18477,0.83021,0.77876,0.82948,0.57284,1.32657,0.92389,1.36733,0.00115187,0.00115187,0.00115187
145,15652.7,1.00468,0.84209,1.18405,0.83158,0.77729,0.82964,0.57308,1.32663,0.92447,1.36713,0.00109,0.00109,0.00109
146,15760.3,1.00044,0.84034,1.18347,0.83249,0.78166,0.83015,0.57313,1.32786,0.9251,1.36832,0.00102812,0.00102812,0.00102812
147,15868.9,0.9971,0.83617,1.18093,0.83117,0.78242,0.82998,0.57275,1.32848,0.92519,1.36801,0.00096625,0.00096625,0.00096625
148,15976.6,0.99745,0.83392,1.18074,0.83755,0.77759,0.83083,0.5729,1.3288,0.9258,1.36803,0.000904375,0.000904375,0.000904375
149,16084.2,1.00307,0.8308,1.18023,0.83756,0.77733,0.83095,0.57371,1.32911,0.92654,1.36838,0.0008425,0.0008425,0.0008425
150,16191.8,0.99346,0.82222,1.17833,0.84585,0.77406,0.83094,0.57428,1.32887,0.92684,1.3682,0.000780625,0.000780625,0.000780625
151,237.502,1.12364,0.70168,1.25114,0.83812,0.77777,0.83179,0.57526,1.32761,0.92177,1.36664,0.00071875,0.00071875,0.00071875
152,346.642,1.1066,0.66579,1.23978,0.83839,0.77672,0.83293,0.57489,1.32551,0.9168,1.36496,0.000656875,0.000656875,0.000656875
153,454.491,1.09988,0.65282,1.23537,0.84292,0.77377,0.83362,0.5754,1.32411,0.91201,1.36366,0.000595,0.000595,0.000595
154,565.206,1.09001,0.64652,1.23277,0.83946,0.77457,0.83492,0.57832,1.32214,0.90708,1.36236,0.000533125,0.000533125,0.000533125
155,672.847,1.08817,0.63839,1.22809,0.84239,0.77471,0.83699,0.58018,1.31993,0.9031,1.36063,0.00047125,0.00047125,0.00047125
156,780.36,1.08826,0.63149,1.22696,0.84847,0.77395,0.83881,0.58251,1.31867,0.89881,1.35949,0.000409375,0.000409375,0.000409375
157,888.191,1.08082,0.62599,1.2195,0.8505,0.77528,0.84043,0.58558,1.31714,0.89477,1.35799,0.0003475,0.0003475,0.0003475
158,995.87,1.0774,0.6189,1.2194,0.85119,0.77597,0.8423,0.58756,1.31603,0.89082,1.35718,0.000285625,0.000285625,0.000285625
159,1103.58,1.07465,0.61417,1.21867,0.85758,0.77807,0.84292,0.58901,1.31494,0.88809,1.35616,0.00022375,0.00022375,0.00022375
160,1211.38,1.07162,0.61238,1.21672,0.85623,0.77915,0.84541,0.59059,1.31419,0.88369,1.35476,0.000161875,0.000161875,0.000161875
